cycle_id,winding_speed_rpm,wire_tension_N,spindle_torque_Nm,wire_diameter_mm,num_turns,winding_temp_C,tension_mean_N,tension_std_N,tension_peak_N,power_mean_W,power_std_W,temp_max_C,temp_gradient,is_anomaly,anomaly_type
CYC_0001,493.0,11.12,1.758,1.0,74,32.1,11.448,0.701,13.134,89.79,3.739,39.1,0.1853,0,normal
CYC_0002,544.6,16.91,2.317,0.71,81,26.2,16.325,0.736,17.713,134.28,3.362,28.1,0.1212,0,normal
CYC_0003,321.4,15.97,2.768,0.71,83,31.5,16.182,0.634,16.994,92.79,3.496,33.2,0.0761,0,normal
CYC_0004,372.6,12.03,2.266,0.71,76,51.2,12.384,0.769,13.966,87.2,4.287,56.9,0.211,0,normal
CYC_0005,572.3,14.85,2.343,0.5,78,46.3,14.266,0.908,16.594,141.21,3.285,48.2,0.1096,0,normal
CYC_0006,402.2,8.18,1.591,0.3,51,46.7,8.127,0.757,9.773,68.31,1.499,54.1,0.1227,0,normal
CYC_0007,307.0,15.22,1.714,0.71,90,44.3,15.357,0.774,16.216,57.11,1.604,45.3,0.1351,0,normal
CYC_0008,368.4,16.38,2.35,0.71,68,54.3,16.317,0.721,18.164,90.53,3.283,61.6,0.1244,0,normal
CYC_0009,322.4,10.24,3.224,1.0,71,43.0,10.317,0.512,12.116,102.17,2.903,47.6,0.2117,0,normal
CYC_0010,324.8,17.83,2.778,0.5,84,38.1,17.525,1.982,23.789,92.13,3.37,41.8,0.1499,1,tension_spike
CYC_0011,512.4,8.91,1.726,0.3,68,54.9,8.76,0.805,11.214,93.07,4.691,57.6,0.2319,0,normal
CYC_0012,401.7,16.97,2.222,0.3,95,35.1,17.293,0.924,18.16,97.62,4.211,37.0,0.1701,0,normal
CYC_0013,353.7,10.61,2.393,0.71,99,49.8,10.631,1.083,12.724,211.42,15.417,55.2,0.0976,1,power_surge
CYC_0014,393.3,13.84,3.1,0.3,96,34.8,13.644,1.055,14.665,123.48,3.832,38.3,0.1892,0,normal
CYC_0015,305.5,16.46,3.462,0.5,82,30.0,16.679,1.14,18.573,109.72,3.19,34.8,0.0796,0,normal
CYC_0016,525.2,12.62,2.102,0.3,59,37.8,12.629,1.038,14.735,114.34,2.612,40.2,0.2159,0,normal
CYC_0017,586.7,11.13,1.631,0.71,97,33.6,11.085,0.998,11.821,71.82,6.048,37.1,0.2325,1,speed_instability
CYC_0018,482.3,9.43,1.949,0.5,51,51.8,9.539,0.433,10.066,96.41,5.114,57.9,0.1287,0,normal
CYC_0019,422.7,16.31,1.683,0.71,80,44.4,16.245,0.788,17.398,75.2,3.861,50.0,0.2433,0,normal
CYC_0020,438.1,14.48,2.886,0.5,90,38.8,14.038,0.446,16.149,133.5,6.399,55.0,0.266,1,overheating
CYC_0021,483.4,15.78,2.893,0.5,87,46.1,16.001,0.942,23.896,231.38,6.457,61.0,0.062,1,combined_stress
CYC_0022,411.3,16.58,2.951,0.71,94,50.0,16.576,0.924,18.142,130.28,7.545,68.4,0.2469,1,overheating
CYC_0023,567.0,16.17,3.073,0.5,54,49.5,16.738,1.16,17.777,180.15,7.043,51.3,0.0671,0,normal
CYC_0024,308.0,14.2,1.817,0.3,75,43.3,14.901,1.077,17.392,54.11,2.449,49.9,0.0763,0,normal
CYC_0025,531.4,8.74,2.932,0.3,70,32.3,8.711,0.726,10.216,162.17,8.737,39.4,0.2129,0,normal
CYC_0026,471.3,16.42,3.254,0.3,58,50.2,16.452,0.933,18.118,156.93,7.519,65.2,0.1821,1,overheating
CYC_0027,534.5,15.02,2.793,1.0,87,34.4,15.244,0.769,20.341,182.73,8.636,51.5,0.1504,1,combined_stress
CYC_0028,507.6,15.99,3.475,0.71,67,28.4,15.437,0.479,16.688,183.74,4.469,34.6,0.2239,0,normal
CYC_0029,490.9,13.36,1.553,1.0,74,53.1,13.594,0.318,15.751,82.23,2.737,59.2,0.1274,0,normal
CYC_0030,313.8,11.59,2.867,1.0,56,37.4,11.551,0.67,13.298,95.51,5.664,44.3,0.0999,0,normal
CYC_0031,824.7,10.39,2.27,1.0,78,45.3,10.311,1.268,12.485,141.63,12.004,52.4,0.1716,1,speed_instability
CYC_0032,556.6,11.92,3.202,0.3,64,30.4,11.92,1.022,12.498,191.37,10.061,32.6,0.2204,0,normal
CYC_0033,383.6,11.53,3.116,0.71,68,51.3,11.712,1.129,18.544,121.2,3.953,55.0,0.1971,1,tension_spike
CYC_0034,367.9,14.22,1.93,0.71,65,39.8,14.23,0.866,15.139,76.65,2.27,42.6,0.2435,0,normal
CYC_0035,519.6,13.05,2.653,1.0,70,25.7,13.472,0.769,14.478,146.2,5.509,32.6,0.1141,0,normal
CYC_0036,334.8,13.23,1.94,0.5,76,33.2,13.493,0.962,15.521,67.61,1.412,40.6,0.1593,0,normal
CYC_0037,871.4,13.11,3.475,1.0,67,26.7,13.145,1.031,14.322,187.28,12.178,31.6,0.2283,1,speed_instability
CYC_0038,531.7,8.12,2.247,0.3,69,45.8,8.664,0.519,9.292,124.24,3.742,47.8,0.117,0,normal
CYC_0039,348.2,14.9,2.479,0.3,83,51.0,14.708,0.487,16.505,92.25,2.308,58.4,0.2209,0,normal
